DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Total"
"171855 RIACHINHO";-;-;-;-;-;-;-;-;-;-;2;1;-;3
"171865 RIO DA CONCEICAO";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"171870 RIO DOS BOIS";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"171880 SAMPAIO";-;-;-;1;-;-;-;1;1;-;2;-;-;5
"171884 SANDOLANDIA";-;-;-;-;-;-;-;1;2;1;3;1;1;9
"171886 SANTA FE DO ARAGUAIA";2;2;4;6;3;6;3;2;-;2;-;1;-;31
"171900 SANTA TEREZA DO TOCANTINS";1;-;-;-;-;-;-;-;-;1;-;-;-;2
"172000 SANTA TEREZINHA DO TOCANTINS";-;-;-;-;-;-;1;-;1;-;2;-;-;4
"172010 SAO BENTO DO TOCANTINS";1;-;-;-;-;-;-;-;3;-;2;-;-;6
"172020 SAO MIGUEL DO TOCANTINS";-;-;-;-;1;-;-;-;2;1;-;4;-;8
"172025 SAO SALVADOR DO TOCANTINS";10;2;9;13;20;26;28;24;29;12;1;-;-;174
"172065 SILVANOPOLIS";-;-;-;-;-;1;-;2;-;-;1;1;-;5
"172080 SITIO NOVO DO TOCANTINS";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"172093 TAIPAS DO TOCANTINS";-;-;-;-;2;1;1;1;2;-;-;-;-;7
"172100 PALMAS";1;7;11;8;16;15;7;11;18;13;17;33;19;176
"172110 TOCANTINIA";-;-;-;-;-;-;-;-;3;-;1;-;-;4
"172120 TOCANTINOPOLIS";-;2;3;6;11;11;8;7;9;8;8;5;-;78
"172130 TUPIRATINS";-;-;2;2;2;-;-;1;-;-;1;1;-;9
"172208 WANDERLANDIA";2;2;2;-;3;2;2;1;1;1;2;-;-;18
"172210 XAMBIOA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"210005 ACAILANDIA";2;1;1;2;-;-;-;1;-;-;-;-;-;7
